S.NO,JIRA ID,Summary,Status,Assignee,Reporter,Created Date,Components,Labels,Sprint
19,AR-31979,"[23.1] Unable to perform branching baseline on sub-user, getting error to re-login",close,Prajjwal Jaiswal,Vineeth Reddy Paduri,20/10/2023 15:36,Admin,arm-code,ARM Tech debt backlog - 23.1
20,AR-31989,"[23.1_SSO]  Even allow multiple login is False, With SSO user able to allow multiple logins ",close,Srinivas Salloori,Sai Kumar Kolipaka,23/10/2023 17:24,Admin,arm-deployments,ARM Tech debt backlog - 23.1
21,AR-32058,[22.3] Getting error in merge request when clicked on "+" under ALM details,close,Bhanu Prakash Yempati,Vineeth Reddy Paduri,02/11/2023 18:53,Version Control,arm-code,ARM Tech debt backlog - 23.1
22,AR-32191,"[23.1] I have observed for the past 2 days that in both the New Merge and Merge Request screens, the input fields for Appriver are not displaying properly, causing a delay in visibility for populating",close,Bhanu Prakash Yempati,Sai Kumar Kolipaka,16/11/2023 20:19,Version Control,arm-code,ARM Tech debt backlog - 23.1
23,AR-32220,[IntegrationBranch_ARM-SIT] CIListHistory: Unable to open the view the changes when clicking on the CI Job Build changes option. Observing the "RABIT.SERVICES.GET_METADATA_BLD_REPORT is not a function" error in the console.,close,Ramesh Babu Korada,Sai Kumar Kolipaka,20/11/2023 23:09,CI Jobs,arm-deployments,ARM Tech debt backlog - 23.1
24,AR-32229,[Hotfix-23.1-arm-qan5] Branch Registration Issue: Admin > VCRepos >Branch1 Not Displaying in UI Branches List ,close,Bhanu Prakash Yempati,Sai Kumar Kolipaka,21/11/2023 13:59,Admin,arm-code,ARM Tech debt backlog - 23.1
25,AR-32234,"[22.3] Getting Null exception, when trying to save role under permissions",Open,Bhanu Prakash Yempati,Vineeth Reddy Paduri,21/11/2023 16:46,Version Control,arm-code,ARM Tech debt backlog - 23.1
26,AR-32244,[23.1] Getting 'Refresh the page pop-up' for sub user when trying to map repo to org,Open,Bhanu Prakash Yempati,Vineeth Reddy Paduri,22/11/2023 10:42,Admin,arm-deployments,ARM Tech debt backlog - 23.1
27,AR-32302,Ncino-internal : when user creating or adding a sf org getting below error.,Open,Bhanu Prakash Yempati,Shamshun s,27/11/2023 17:48,Admin,arm-code,ARM Tech debt backlog - 23.1
28,AR-32308,"Suggestion: When the user retrieves the packages and version, we show a blank dropdown, implying that we can add a loader within the dropdown.",Open,Rahul Nandan Tadepalli,Shamshun s,28/11/2023 20:00,Deployment,arm-deployments,ARM Tech debt backlog - 23.1
29,AR-32309,[23.1]Unable to view the reason for getting merge auto rejected in UI,Open,Bhanu Prakash Yempati,Vineeth Reddy Paduri,29/11/2023 10:47,Version Control,arm-code,ARM Tech debt backlog - 23.1
30,AR-32310,"[23.1] When a branch is deleted in upstream origin, it would be better to put validation in EZ-commit branch selection screen",Open,Bhanu Prakash Yempati,Vineeth Reddy Paduri,29/11/2023 10:55,Version Control,arm-code,ARM Tech debt backlog - 23.1
31,9,115756,P3,ARM - Reports and Dashboards,Issues with New Email Formatting,,,,
32,10,115787,P2,ARM - Version Control,"not able to merge changes, as it asks for validation org",,,,
33,11,115817,P2,ARM - Version Control,Commit CI Job Deployment Errors,,,,
34,12,116009,P2,ARM - Version Control,Internal - Unable to Approve Commit from the Commit History Screen,,,,
35,13,116039,P2,ARM - Version Control,Commit merge is getting failed.,,,,
36,14,116291,P1,nCino,nCino Feature/RBC Filters Not Working on Commits [Urgent Issue Effecting Production Development],,,,
37,15,116413,P2,ARM - Version Control,Release labels not shown,,,,
